period,Year,Month,HK
1,99,5,65537
2,99,6,72624
3,99,7,69032
4,99,8,74588
5,99,9,52944
6,99,10,56925
7,99,11,56568
8,99,12,77852
9,100,1,41276
10,100,2,59215
11,100,3,55410
12,100,4,83022
13,100,5,52323
14,100,6,68118
15,100,7,69744
16,100,8,73892
17,100,9,49986
18,100,10,58067
19,100,11,62061
20,100,12,90919
21,101,1,61045
22,101,2,50532
23,101,3,78393
24,101,4,104624
25,101,5,70826
26,101,6,99583
27,101,7,88625
28,101,8,94810
29,101,9,71998
30,101,10,67914
31,101,11,70690
32,101,12,90614
33,102,1,54202
34,102,2,76812
35,102,3,107984
36,102,4,80369
37,102,5,91636
38,102,6,114820
39,102,7,101231
40,102,8,110758
41,102,9,78310
42,102,10,87460
43,102,11,90135
44,102,12,111506
45,103,1,69643
46,103,2,83202
47,103,3,93486
48,103,4,138367
49,103,5,110096
50,103,6,123036
51,103,7,123357
52,103,8,132400
53,103,9,97201
54,103,10,89069
55,103,11,93816
56,103,12,122366
57,104,1,69615
58,104,2,87773
59,104,3,107358
60,104,4,136660
61,104,5,116975
62,104,6,128335
63,104,7,129918
64,104,8,141267
65,104,9,107461
66,104,10,105653
67,104,11,111033
68,104,12,147481
69,105,1,87573
70,105,2,102906
71,105,3,154015
72,105,4,102673
73,105,5,116644
74,105,6,130589
75,105,7,134596
76,105,8,143072
77,105,9,107424
78,105,10,117477
79,105,11,117470
80,105,12,160082
81,106,1,104092
82,106,2,95651
83,106,3,115550
84,106,4,177852
85,106,5,120042
86,106,6,135182
87,106,7,139586
88,106,8,155907
89,106,9,108857
90,106,10,106813
91,106,11,123587
92,106,12,157646
93,107,1,98876
94,107,2,97234
95,107,3,139427
96,107,4,113778
97,107,5,113622
98,107,6,134794
99,107,7,145825
100,107,8,168660
101,107,9,109275
102,107,10,111259
103,107,11,123831
104,107,12,149955
105,108,1,93187
106,108,2,106441
107,108,3,117545
108,108,4,170484
