period,Year,Month,Malaysia
1,98,5,8694
2,98,6,8941
3,98,7,8834
4,98,8,10250
5,98,9,16519
6,98,10,15151
7,98,11,22499
8,98,12,29805
9,99,1,12194
10,99,2,20175
11,99,3,26698
12,99,4,24049
13,99,5,22062
14,99,6,24385
15,99,7,13667
16,99,8,16087
17,99,9,25956
18,99,10,25383
19,99,11,34434
20,99,12,40644
21,100,1,16062
22,100,2,26072
23,100,3,29390
24,100,4,25274
25,100,5,23830
26,100,6,21177
27,100,7,15521
28,100,8,22877
29,100,9,21432
30,100,10,25256
31,100,11,38406
32,100,12,42601
33,101,1,20638
34,101,2,27153
35,101,3,33756
36,101,4,28334
37,101,5,27450
38,101,6,21768
39,101,7,15874
40,101,8,23991
41,101,9,24700
42,101,10,29445
43,101,11,42242
44,101,12,45681
45,102,1,17032
46,102,2,29064
47,102,3,33741
48,102,4,29585
49,102,5,33495
50,102,6,23681
51,102,7,20765
52,102,8,32133
53,102,9,31130
54,102,10,38165
55,102,11,52514
56,102,12,53021
57,103,1,21277
58,103,2,38263
59,103,3,45842
60,103,4,39192
61,103,5,36537
62,103,6,31066
63,103,7,26043
64,103,8,20194
65,103,9,36969
66,103,10,38458
67,103,11,46516
68,103,12,58883
69,104,1,22157
70,104,2,27877
71,104,3,51464
72,104,4,36651
73,104,5,30873
74,104,6,29873
75,104,7,23813
76,104,8,22249
77,104,9,36526
78,104,10,38029
79,104,11,50866
80,104,12,61103
81,105,1,22928
82,105,2,39395
83,105,3,47488
84,105,4,40557
85,105,5,35240
86,105,6,29746
87,105,7,26167
88,105,8,23685
89,105,9,40289
90,105,10,42186
91,105,11,54980
92,105,12,71759
93,106,1,28560
94,106,2,45750
95,106,3,54734
96,106,4,42931
97,106,5,40872
98,106,6,43856
99,106,7,23119
100,106,8,30204
101,106,9,38217
102,106,10,45433
103,106,11,61221
104,106,12,73122
105,107,1,31359
106,107,2,36364
107,107,3,60120
108,107,4,43957
109,107,5,38230
110,107,6,44603
111,107,7,23010
112,107,8,29388
113,107,9,37822
114,107,10,44537
115,107,11,64276
116,107,12,72463
117,108,1,29126
118,108,2,47541
119,108,3,56985
120,108,4,44586
